filename,width,height,class,xmin,ymin,xmax,ymax
Space_Shuttle_Lauch_03.jpg,598,387,NASA,275,86,340,149
the-nasa-vehicle-assembly-building-vab-at-kennedy-space-center-florida-c90ahr.jpg,640,446,NASA,17,216,177,362
Executive-OfficeNASA-298x188.jpg,298,188,NASA,69,135,209,171
Kennedy.jpg,732,549,NASA,372,194,450,258
186626819.jpg,600,399,NASA,351,99,402,159
IMG-20170725-WA0032-1200x675.jpg,1200,675,NASA,339,81,924,630
1024px-NASA_News_Center_Annex_and_VAB_(5664834225)_(2).jpg,1024,683,NASA,597,140,785,301
nasa-vehicle-assembly-building-mark-williamson.jpg,600,320,NASA,378,50,445,118
feature-a-nasa-470807148.jpg,632,332,NASA,375,86,443,143
8105558e20d0f2ca11a293257d57dc04.jpg,346,500,NASA,109,170,249,281
57182376d5d07c9a36a2d72b_NASA 2.jpg,800,800,NASA,506,205,601,291
IMG_3553a_Orion_Ken-Kremer.jpg,1000,667,NASA,388,29,598,228
IMG_3553a_Orion_Ken-Kremer.jpg,1000,667,NASA,304,318,481,412
dp-nws-nasa-indictment-20151021.jpg,600,400,NASA,262,56,299,97
52061495.jpeg,520,520,NASA,135,203,382,420
nasa-michoud-storm-damage-1.jpg,640,480,NASA,217,112,272,161
f238_nasa_cycle_jersey.jpg,446,600,NASA,188,146,376,369
nasa-logo-shirt-men-s-premium-t-shirt.jpg,400,400,NASA,135,92,295,208
nasalogo3.jpg,866,762,NASA,27,138,827,644
nasa-mission-control-center-johnson-space-center-b5jagj.jpg,640,448,NASA,18,200,113,349
7198838-4.jpeg,513,655,NASA,181,83,284,174
1489428795_2K3A4782.jpg,500,779,NASA,249,280,347,366
nasa-759.jpg,759,422,NASA,186,11,639,380
14665212_Alt02.jpeg,520,520,NASA,163,111,357,283
_AL522H01D-M11__default__12.jpg,303,438,NASA,204,162,247,197
unisex-nasa-logo-print-hooded-long-sleeve-hoodie_1476105876600.jpg,392,588,NASA,123,179,275,309
52637137.jpeg,520,520,NASA,193,136,337,255
x354-q80.jpg,354,354,NASA,128,129,230,214
dscf6170_600.jpg,450,600,NASA,6,194,429,531
8823453-1-grey.jpeg,513,655,NASA,179,295,377,469
a18dcadf92e60408a029a6333c14f545--nasa-aesthetic-bill-potts-aesthetic.jpg,500,500,NASA,150,135,394,499
52564490.jpeg,520,520,NASA,196,229,243,275
nasa-icon-logo-with-flag-of-silk-e5hef4.jpg,640,459,NASA,106,30,551,402
stock-photo-nasa-logo-at-kennedy-space-center-florida-th-february-for-editorial-use-only-589524287.jpg,450,319,NASA,139,71,332,252
14143057-merritt-island-fl--feb-12-nasa-logo-in-kennedy-space-center-on-february-12-2012-in-merritt-island-fl.jpg,450,299,NASA,148,31,328,178
DUSTRIES L 2B Nasa Bomber - Men s Clothing - ALPHA - Bombers - White.jpg,397,600,NASA,247,91,299,136
aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzA1Ny84Njkvb3JpZ2luYWwvaGlkZGVuLWZpZ3VyZXMtREYtMDU0NjVfcmdiLmpwZw==.jpeg,660,440,NASA,144,340,512,433
obama-110311a_001.jpg,674,388,NASA,102,206,159,258
1000380_black_field_grade_nasa_snapback_lp3.jpg,424,478,NASA,140,146,296,273
Vehicle-Assembly-Building-July-6-2005.jpg,600,400,NASA,287,33,361,121
Nasa-Hokulea-Building.jpg,875,491,NASA,482,97,571,196
usa-1-nasa-logo-avengers-space-program-vector.jpg,680,559,NASA,14,23,652,540
building-a-sustainable-infrastructure-at-nasa-7-638.jpg,638,479,NASA,352,85,392,141
58ccea330f2544185842fa22.jpg,590,332,NASA,24,1,416,332
SLSversions.jpg,414,404,NASA,32,125,47,137
SLSversions.jpg,414,404,NASA,217,119,241,137
SLSversions.jpg,414,404,NASA,362,124,385,144
SLSversions.jpg,414,404,NASA,367,58,382,71
nasa_logo_tshirt.jpg,367,440,NASA,99,119,270,257
NASA-SLS-Rocket.jpg,600,300,NASA,508,43,522,57
NASA-SLS-Rocket.jpg,600,300,NASA,50,14,394,283
nasa-s-vehicle-assembly-building-vab-11946632.jpg,800,591,NASA,461,141,558,229
nasa_social_spacex_crs2_28.jpg,800,600,NASA,233,197,321,297
nasa_social_spacex_crs2_28.jpg,800,600,NASA,97,106,146,181
Cree_Government_NASA_WashingtonDC_005w=625h=400.jpg,625,400,NASA,128,208,361,398
141130154520-orion-in-front-of-vab-story-top.jpg,640,360,NASA,276,160,325,209
images.jpeg,225,225,NASA,63,45,169,141
ftrh6u-i.jpg,617,724,NASA,203,234,417,406
orion-multipurpose-crew-vehicle-3-638.jpg,638,479,NASA,570,1,633,62
nasa-vab-building.jpg,720,480,NASA,382,117,484,205
Nasa-T-Shirt-Dec2.jpg,800,800,NASA,469,439,732,683
_AL522P003-G11__default__11.jpg,303,437,NASA,137,168,179,208
nasa-logo-sweatshirt-640x534.jpg,640,534,NASA,134,92,392,336
14309854_1105980592816356_3666041804483985408_n.jpg,480,480,NASA,229,219,287,262
nasa-assembly-building-photo_999397-770tall.jpg,770,511,NASA,463,174,509,224
52693360.jpeg,520,520,NASA,193,169,341,297
VAB-NASA-Kennedy-Space-Center-003.jpg,479,600,NASA,196,218,289,327
VAB-NASA-Kennedy-Space-Center-003.jpg,479,600,NASA,91,354,117,384
VAB-NASA-Kennedy-Space-Center-003.jpg,479,600,NASA,373,110,427,193
vab-402854_700x480.jpg,700,480,NASA,422,65,521,145
Flowers-Outside-JSC1.jpg,900,594,NASA,528,1,649,134
8235699363_046de7156d_b.jpg,900,600,NASA,189,229,268,317
nasa-.jpg,960,640,NASA,81,43,667,607
KennedySpaceCenterVisitorComplex_VAB_aerial_2.jpg,550,254,NASA,289,46,337,89
1c42ce222edbee0a7904f3fa539c71ca--sew-on-patches-iron-on-patches.jpg,736,736,NASA,91,143,652,604
nasa-sweatshirts-kanye-men-women-winter-hood.jpg,815,775,NASA,444,288,531,365
AL522S01B-C11@12.jpg,303,438,NASA,182,169,224,204
cimg0575.jpg,1000,750,NASA,625,156,777,296
ed_vab.jpg,720,540,NASA,498,248,638,357
NASA.jpg,625,480,NASA,142,107,185,159
43215433_007_b.jpeg,600,900,NASA,159,314,467,567
51eoGcf0pUL.jpg,500,500,NASA,194,115,325,222
571823807a66efe70ed7cd07_NASA 3.jpg,800,800,NASA,459,255,546,335
nasa2.jpg,782,604,NASA,199,143,611,486
c9a06b6feb604f3702540b33ed20f885.jpg,397,261,NASA,1,8,91,116
c9a06b6feb604f3702540b33ed20f885.jpg,397,261,NASA,212,131,261,191
DSC06277-580x497.jpg,580,497,NASA,208,101,284,181
jsc2002e43166.jpg,2400,3000,NASA,1170,1974,1404,2219
1024px-Vehicle_Assembly_Building_damage_from_Hurricane_Frances_night_view.jpg,1024,681,NASA,670,187,797,298
166891main_repaint.jpg,330,375,NASA,241,80,301,138
sts131_fd15d.jpg,400,300,NASA,177,95,226,140
nasa-logo-emblem-insignia-at-the-kennedy-space-center-florida-usa-cxm7mw.jpg,640,447,NASA,202,60,439,252
aHR0cDovL3d3dy5zcGFjZS5jb20vaW1hZ2VzL2kvMDAwLzAzNi8yMTUvb3JpZ2luYWwvdmFidG91cnNfc2xzcmVub3ZhdGlvbnMwMS5qcGc=.jpeg,660,437,NASA,353,83,417,139
100907180.jpg,1024,576,NASA,97,3,236,107
article-0-11DD1354000005DC-285_634x426.jpg,634,426,NASA,316,63,391,143
Picture1a-425x320.jpg,425,320,NASA,179,21,221,59
alpha-industries-White-Nasa-Ma-1-Flight-Jacket.jpeg,520,650,NASA,227,305,493,501
0-nasa-ksc-lcc-vab.jpg,500,375,NASA,233,137,284,198
Alpha-Industries-x-NASA.jpg,1050,700,NASA,412,125,531,236
whitehouse_nasa_879x485.jpg,879,485,NASA,202,50,397,271
